Trajectory ID,SMILES,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number
24101,O=C(*)OCCCOCCCO*,1.48E+00,4.21E+02,1.60E+01,1.30E+00,2.85E-04,8.30E-08,4.94E-08,7.71E-08,2.53E-01
24102,O=C(*)OCCSCCCCCCCO*,1.45E+00,4.79E+02,1.20E+01,1.25E+00,2.10E-04,8.70E-08,8.05E-08,8.70E-08,1.16E-01
24103,O=C(*)NCCNCCCCCNCCN*,1.50E+00,4.75E+02,1.10E+01,1.23E+00,1.42E-04,3.07E-08,2.50E-08,2.72E-08,3.44E-01
24104,O=C(*)OCCOCCOCCCN*,1.43E+00,4.50E+02,1.30E+01,1.28E+00,1.69E-04,4.20E-08,3.47E-08,5.92E-08,4.20E-01
24105,O=C(*)NCCCNCCCO*,1.39E+00,4.19E+02,1.60E+01,1.25E+00,1.64E-04,5.01E-08,3.08E-08,3.43E-08,3.12E-01
24106,O=C(*)NCCSCCCSCCN*,1.44E+00,4.81E+02,1.30E+01,1.37E+00,1.50E-04,4.40E-08,3.98E-08,4.14E-08,4.45E-01
24107,O=C(*)OCCCCCOCCCCCO*,1.48E+00,4.77E+02,1.10E+01,1.19E+00,1.57E-04,9.51E-08,6.64E-08,9.19E-08,2.04E-01
24108,O=C(*)NCCNCCCCNCCN*,1.47E+00,4.61E+02,1.20E+01,1.25E+00,1.13E-04,2.00E-08,2.16E-08,1.79E-08,4.76E-01
24109,O=C(*)OCCNCCCCN*,1.39E+00,4.19E+02,1.60E+01,1.25E+00,9.18E-05,2.90E-08,1.88E-08,2.30E-08,3.45E-01
24110,O=C(*)NCCNCCNCCN*,1.46E+00,4.33E+02,1.40E+01,1.30E+00,2.15E-04,3.99E-08,2.47E-08,2.36E-08,2.55E-01
24111,O=C(*)NCCCCC(N*)C(=O)NO,1.39E+00,4.48E+02,1.90E+01,1.43E+00,5.76E-05,1.06E-08,1.26E-08,1.01E-08,3.43E-01
24112,O=C(*)OCCNCCOCCO*,1.44E+00,4.36E+02,1.40E+01,1.31E+00,2.05E-04,5.22E-08,3.01E-08,4.43E-08,2.65E-01
24113,O=C(*)OCCCCCCCCO*,1.46E+00,4.33E+02,1.40E+01,1.19E+00,1.40E-04,8.65E-08,5.61E-08,8.06E-08,1.81E-01
24114,O=C(*)NCCCNCCCNCCCN*,1.50E+00,4.75E+02,1.10E+01,1.23E+00,1.10E-04,2.27E-08,2.77E-08,1.96E-08,5.51E-01
24115,O=C(*)OCCCNCCCO*,1.49E+00,4.20E+02,1.60E+01,1.28E+00,2.27E-04,6.90E-08,4.67E-08,4.73E-08,3.52E-01
24116,O=C(*)NCCCCCOCCCCCN*,1.50E+00,4.75E+02,1.10E+01,1.20E+00,1.59E-04,5.11E-08,4.85E-08,4.69E-08,4.26E-01
24117,O=C(*)NCCCOCCCN*,1.39E+00,4.19E+02,1.60E+01,1.28E+00,9.93E-05,2.04E-08,2.77E-08,1.85E-08,6.08E-01
24118,O=C(*)OCCOCCOCCOCCO*,1.46E+00,4.81E+02,1.10E+01,1.31E+00,4.87E-04,9.46E-08,6.40E-08,8.33E-08,3.61E-01
24119,O=C(*)OCCOCCCN*,1.43E+00,4.06E+02,1.70E+01,1.31E+00,2.43E-04,6.24E-08,4.26E-08,4.87E-08,3.45E-01
24120,O=C(*)OCCCOCCCOCCCO*,1.47E+00,4.79E+02,1.10E+01,1.25E+00,1.77E-04,8.03E-08,5.08E-08,7.67E-08,2.07E-01
24121,O=C(*)NCCSCSCCN*,1.46E+00,4.53E+02,1.60E+01,1.46E+00,8.73E-05,2.20E-08,1.76E-08,2.11E-08,4.17E-01
24134,CN(C)C(=O)C(CN*)NC(=O)*,1.46E+00,4.18E+02,3.10E+01,1.41E+00,3.16E-05,7.41E-09,5.38E-09,3.63E-09,1.74E-01
24135,O=C(*)OCC(CO*)NC(=O)C(F)F,1.40E+00,4.56E+02,2.60E+01,1.63E+00,5.64E-05,1.81E-08,9.25E-09,9.35E-09,7.54E-02
